system,tot_energy
Os_N_din4_x2_c3_c,-629.123
Pd_N_din4_x2_c3_c,-613.299
Pt_N_din4_x2_c3_c,-626.055
Rh_N_din4_x2_c3_c,-614.32
Ru_N_din4_x2_c3_c,-615.377
Zn_N_din4_x2_c3_c,-610.862
Ag_N_din4_x2_c3_c_v2,-621.944
Au_N_din4_x2_c3_c_v2,-623.363
Cd_N_din4_x2_c3_c_v2,-619.741
Co_N_din4_x2_c3_c_v2,-626.574
Cu_N_din4_x2_c3_c_v2,-622.896
Fe_N_din4_x2_c3_c_v2,-627.973
Ir_N_din4_x2_c3_c_v2,-629.062
Ni_N_din4_x2_c3_c_v2,-625.378
Os_N_din4_x2_c3_c_v2,-630.378
Pd_N_din4_x2_c3_c_v2,-625.673
Pt_N_din4_x2_c3_c_v2,-627.198
Rh_N_din4_x2_c3_c_v2,-627.374
Ru_N_din4_x2_c3_c_v2,-628.416
Zn_N_din4_x2_c3_c_v2,-620.647
Ag_N_din4_x2_c3_d,-622.505
Au_N_din4_x2_c3_d,-623.715
Cd_N_din4_x2_c3_d,-621.141
Co_N_din4_x2_c3_d,-625.124
Cu_N_din4_x2_c3_d,-623.783
Fe_N_din4_x2_c3_d,-626.712
Ir_N_din4_x2_c3_d,-627.223
Ni_N_din4_x2_c3_d,-623.29
Os_N_din4_x2_c3_d,-628.898
Pd_N_din4_x2_c3_d,-622.908
Pt_N_din4_x2_c3_d,-625.064
Rh_N_din4_x2_c3_d,-625.229
Ru_N_din4_x2_c3_d,-626.852
Zn_N_din4_x2_c3_d,-622.314
Ag_N_din4_x2_c3_d_v2,-622.506
Au_N_din4_x2_c3_d_v2,-623.716
Cd_N_din4_x2_c3_d_v2,-621.136
Co_N_din4_x2_c3_d_v2,-627.338
Cu_N_din4_x2_c3_d_v2,-623.783
Fe_N_din4_x2_c3_d_v2,-628.868
Ir_N_din4_x2_c3_d_v2,-629.652
Ni_N_din4_x2_c3_d_v2,-626.096
Os_N_din4_x2_c3_d_v2,-630.636
Pd_N_din4_x2_c3_d_v2,-626.414
Pt_N_din4_x2_c3_d_v2,-627.761
Rh_N_din4_x2_c3_d_v2,-628.152
Ru_N_din4_x2_c3_d_v2,-629.245
Zn_N_din4_x2_c3_d_v2,-622.314
Ag_N_din4_x2_c4_a,-622.724
Au_N_din4_x2_c4_a,-624.285
Cd_N_din4_x2_c4_a,-620.582
Co_N_din4_x2_c4_a,-627.108
Cu_N_din4_x2_c4_a,-623.607
Fe_N_din4_x2_c4_a,-628.622
Ir_N_din4_x2_c4_a,-629.404
