system,tot_energy
Co_Fe_N_din4_x2_c4_f,-613.685
Cu_Fe_N_din4_x2_c4_f,-611.341
Fe_Fe_N_din4_x2_c4_f,-615.272
Ir_Fe_N_din4_x2_c4_f,-614.863
Ni_Fe_N_din4_x2_c4_f,-612.418
Os_Fe_N_din4_x2_c4_f,-615.98
Pd_Fe_N_din4_x2_c4_f,-611.377
Pt_Fe_N_din4_x2_c4_f,-613.641
Rh_Fe_N_din4_x2_c4_f,-613.094
Ru_Fe_N_din4_x2_c4_f,-615.093
Zn_Fe_N_din4_x2_c4_f,-609.737
Ag_Fe_N_din4_x2_c4_f_v2,-630.206
Au_Fe_N_din4_x2_c4_f_v2,-631.507
Cd_Fe_N_din4_x2_c4_f_v2,-628.495
Co_Fe_N_din4_x2_c4_f_v2,-635.829
Cu_Fe_N_din4_x2_c4_f_v2,-632.214
Fe_Fe_N_din4_x2_c4_f_v2,-636.863
Ir_Fe_N_din4_x2_c4_f_v2,-637.271
Ni_Fe_N_din4_x2_c4_f_v2,-634.753
Os_Fe_N_din4_x2_c4_f_v2,-638.379
Pd_Fe_N_din4_x2_c4_f_v2,-634.199
Pt_Fe_N_din4_x2_c4_f_v2,-635.477
Rh_Fe_N_din4_x2_c4_f_v2,-636.024
Ru_Fe_N_din4_x2_c4_f_v2,-637.046
Zn_Fe_N_din4_x2_c4_f_v2,-629.673
Ag_Fe_N_din4_x2_c5_a,-629.842
Au_Fe_N_din4_x2_c5_a,-631.436
Cd_Fe_N_din4_x2_c5_a,-627.273
Co_Fe_N_din4_x2_c5_a,-636.085
Cu_Fe_N_din4_x2_c5_a,-632.42
Fe_Fe_N_din4_x2_c5_a,-637.135
Ir_Fe_N_din4_x2_c5_a,-637.457
Ni_Fe_N_din4_x2_c5_a,-634.843
Os_Fe_N_din4_x2_c5_a,-639.225
Pd_Fe_N_din4_x2_c5_a,-633.623
Pt_Fe_N_din4_x2_c5_a,-635.443
Rh_Fe_N_din4_x2_c5_a,-635.707
Ru_Fe_N_din4_x2_c5_a,-637.304
Zn_Fe_N_din4_x2_c5_a,-629.201
Ag_Fe_N_din4_x2_c5_b,-629.511
Au_Fe_N_din4_x2_c5_b,-631.262
Cd_Fe_N_din4_x2_c5_b,-627.578
Co_Fe_N_din4_x2_c5_b,-635.777
Cu_Fe_N_din4_x2_c5_b,-630.799
Fe_Fe_N_din4_x2_c5_b,-636.883
Ir_Fe_N_din4_x2_c5_b,-634.357
Ni_Fe_N_din4_x2_c5_b,-634.643
Os_Fe_N_din4_x2_c5_b,-638.845
Pd_Fe_N_din4_x2_c5_b,-633.275
