system_dacs,tot_energy_dacs,M1,M2,heteroatom_dacs,basic_cavity_dacs,cavity,cavity_v2,cavity_3,M1_cavity,cavity_4,M2_cavity,system_sacs_pristine,tot_energy_sacs_pristine,heteroatom_sacs_pristine,basic_cavity_sacs_pristine,system_x,tot_energy_M1,system_y,tot_energy_M2,Eint
Pt_Fe_N_din4_x2_c1_a,-635.613,Pt,Fe,N,din4,N_din4_x2_c1_a,N_din4_x2_c1_a,1,Pt_N_din4_x2_c1_a,din4_x2,Fe_N_din4_x2_c1_a,N_din4_x2_c1_a,-616.776,N,din4,Pt_N_din4_x2_c1_a,-625.089,Fe_N_din4_x2_c1_a,-626.741,-0.5590000000000828
Rh_Fe_N_din4_x2_c1_a,-637.349,Rh,Fe,N,din4,N_din4_x2_c1_a,N_din4_x2_c1_a,1,Rh_N_din4_x2_c1_a,din4_x2,Fe_N_din4_x2_c1_a,N_din4_x2_c1_a,-616.776,N,din4,Rh_N_din4_x2_c1_a,-626.031,Fe_N_din4_x2_c1_a,-626.741,-1.3530000000000655
Ru_Fe_N_din4_x2_c1_a,-639.121,Ru,Fe,N,din4,N_din4_x2_c1_a,N_din4_x2_c1_a,1,Ru_N_din4_x2_c1_a,din4_x2,Fe_N_din4_x2_c1_a,N_din4_x2_c1_a,-616.776,N,din4,Ru_N_din4_x2_c1_a,-626.023,Fe_N_din4_x2_c1_a,-626.741,-3.1329999999999245
Zn_Fe_N_din4_x2_c1_a,-628.502,Zn,Fe,N,din4,N_din4_x2_c1_a,N_din4_x2_c1_a,1,Zn_N_din4_x2_c1_a,din4_x2,Fe_N_din4_x2_c1_a,N_din4_x2_c1_a,-616.776,N,din4,Zn_N_din4_x2_c1_a,-620.967,Fe_N_din4_x2_c1_a,-626.741,2.4300000000001774
Ag_Fe_N_din4_x2_c1_a_v2,-630.13,Ag,Fe,N,din4,N_din4_x2_c1_a,N_din4_x2_c1_a_v2,1,Ag_N_din4_x2_c1_a_v2,din4_x2,Fe_N_din4_x2_c1_a_v2,N_din4_x2_c1_a,-616.776,N,din4,Ag_N_din4_x2_c1_a_v2,-620.726,Fe_N_din4_x2_c1_a_v2,-628.127,1.9470000000000027
Au_Fe_N_din4_x2_c1_a_v2,-631.357,Au,Fe,N,din4,N_din4_x2_c1_a,N_din4_x2_c1_a_v2,1,Au_N_din4_x2_c1_a_v2,din4_x2,Fe_N_din4_x2_c1_a_v2,N_din4_x2_c1_a,-616.776,N,din4,Au_N_din4_x2_c1_a_v2,-620.861,Fe_N_din4_x2_c1_a_v2,-628.127,0.8550000000001319
Cd_Fe_N_din4_x2_c1_a_v2,-628.302,Cd,Fe,N,din4,N_din4_x2_c1_a,N_din4_x2_c1_a_v2,1,Cd_N_din4_x2_c1_a_v2,din4_x2,Fe_N_din4_x2_c1_a_v2,N_din4_x2_c1_a,-616.776,N,din4,Cd_N_din4_x2_c1_a_v2,-620.064,Fe_N_din4_x2_c1_a_v2,-628.127,3.1129999999999427
Co_Fe_N_din4_x2_c1_a_v2,-637.649,Co,Fe,N,din4,N_din4_x2_c1_a,N_din4_x2_c1_a_v2,1,Co_N_din4_x2_c1_a_v2,din4_x2,Fe_N_din4_x2_c1_a_v2,N_din4_x2_c1_a,-616.776,N,din4,Co_N_din4_x2_c1_a_v2,-626.446,Fe_N_din4_x2_c1_a_v2,-628.127,0.14800000000002456
Cu_Fe_N_din4_x2_c1_a_v2,-632.704,Cu,Fe,N,din4,N_din4_x2_c1_a,N_din4_x2_c1_a_v2,1,Cu_N_din4_x2_c1_a_v2,din4_x2,Fe_N_din4_x2_c1_a_v2,N_din4_x2_c1_a,-616.776,N,din4,Cu_N_din4_x2_c1_a_v2,-622.361,Fe_N_din4_x2_c1_a_v2,-628.127,1.0079999999999245
Fe_Fe_N_din4_x2_c1_a_v2,-638.958,Fe,Fe,N,din4,N_din4_x2_c1_a,N_din4_x2_c1_a_v2,1,Fe_N_din4_x2_c1_a_v2,din4_x2,Fe_N_din4_x2_c1_a_v2,N_din4_x2_c1_a,-616.776,N,din4,Fe_N_din4_x2_c1_a_v2,-628.127,Fe_N_din4_x2_c1_a_v2,-628.127,0.5199999999999818
Ir_Fe_N_din4_x2_c1_a_v2,-638.679,Ir,Fe,N,din4,N_din4_x2_c1_a,N_din4_x2_c1_a_v2,1,Ir_N_din4_x2_c1_a_v2,din4_x2,Fe_N_din4_x2_c1_a_v2,N_din4_x2_c1_a,-616.776,N,din4,Ir_N_din4_x2_c1_a_v2,-627.983,Fe_N_din4_x2_c1_a_v2,-628.127,0.6549999999999727
Ni_Fe_N_din4_x2_c1_a_v2,-635.793,Ni,Fe,N,din4,N_din4_x2_c1_a,N_din4_x2_c1_a_v2,1,Ni_N_din4_x2_c1_a_v2,din4_x2,Fe_N_din4_x2_c1_a_v2,N_din4_x2_c1_a,-616.776,N,din4,Ni_N_din4_x2_c1_a_v2,-624.165,Fe_N_din4_x2_c1_a_v2,-628.127,-0.27700000000004366
Os_Fe_N_din4_x2_c1_a_v2,-640.659,Os,Fe,N,din4,N_din4_x2_c1_a,N_din4_x2_c1_a_v2,1,Os_N_din4_x2_c1_a_v2,din4_x2,Fe_N_din4_x2_c1_a_v2,N_din4_x2_c1_a,-616.776,N,din4,Os_N_din4_x2_c1_a_v2,-630.075,Fe_N_din4_x2_c1_a_v2,-628.127,0.7670000000000528
