system_dacs,tot_energy_dacs,M1,M2,heteroatom_dacs,basic_cavity_dacs,cavity,cavity_v2,cavity_3,M1_cavity,cavity_4,M2_cavity,system_sacs_pristine,tot_energy_sacs_pristine,heteroatom_sacs_pristine,basic_cavity_sacs_pristine,metal,Ecoh,atomic_mass,vdw_radius,r_cov_sb,r_cov_db,dipole_polarizability,ionic_radii_crystals,d_center_sp,Paul_electroneg,MB_electroneg,electron_affinity,covalent_radius,atomic_number,Ion_energ_I,Ion_energ_II,Zung_radius,Coh_radius,Waber_radius,mied_param_h,mied_param_phi,HOMO ,LUMO,mag_moment_bulk_d, E_Fermi,E_Fermi2,Ecoh_m1,system,tot_energy_M2,Edft_fe,color
Pt_Fe_N_din6_s_c2_01,-613.808,Pt,Fe,N,din6,N_din6_s_c2_01,N_din6_s_c2_01,2,Pt_N_din6_s_c2_01,din6_s,Fe_N_din6_s_c2_01,N_din6_s_c2_01,-598.699,N,din6,Pt,-6.8665185,195.084,213,123,112,48.0,0.6,-3.353229,2.2,1.91,2.128,136,78,8.95883,18.56,1.24,1.46,1.221,1.78,5.65,-5.3211,-5.2186,31.475568,10,10.1,-6.8665185,Fe_N_din6_s_c2_01,-608.682,1.7405185000000074,#808080
Pt_Fe_N_din6_s_c2_02,-613.609,Pt,Fe,N,din6,N_din6_s_c2_02,N_din6_s_c2_02,2,Pt_N_din6_s_c2_02,din6_s,Fe_N_din6_s_c2_02,N_din6_s_c2_02,-598.852,N,din6,Pt,-6.8665185,195.084,213,123,112,48.0,0.6,-3.353229,2.2,1.91,2.128,136,78,8.95883,18.56,1.24,1.46,1.221,1.78,5.65,-5.3211,-5.2186,31.475568,10,10.1,-6.8665185,Fe_N_din6_s_c2_02,-608.204,1.4615184999998974,#808080
Pt_Fe_N_din6_s_c2_12,-613.717,Pt,Fe,N,din6,N_din6_s_c2_12,N_din6_s_c2_12,2,Pt_N_din6_s_c2_12,din6_s,Fe_N_din6_s_c2_12,N_din6_s_c2_12,-598.699,N,din6,Pt,-6.8665185,195.084,213,123,112,48.0,0.6,-3.353229,2.2,1.91,2.128,136,78,8.95883,18.56,1.24,1.46,1.221,1.78,5.65,-5.3211,-5.2186,31.475568,10,10.1,-6.8665185,Fe_N_din6_s_c2_12,-608.705,1.8545185000000401,#808080
Pt_Fe_N_din6_s_c3_012,-613.215,Pt,Fe,N,din6,N_din6_s_c3_012,N_din6_s_c3_012,3,Pt_N_din6_s_c3_012,din6_s,Fe_N_din6_s_c3_012,N_din6_s_c3_012,-597.538,N,din6,Pt,-6.8665185,195.084,213,123,112,48.0,0.6,-3.353229,2.2,1.91,2.128,136,78,8.95883,18.56,1.24,1.46,1.221,1.78,5.65,-5.3211,-5.2186,31.475568,10,10.1,-6.8665185,Fe_N_din6_s_c3_012,-608.002,1.6535184999999046,#808080
Rh_Fe_N_din4_x2_c2_b,-637.071,Rh,Fe,N,din4,N_din4_x2_c2_b,N_din4_x2_c2_b,2,Rh_N_din4_x2_c2_b,din4_x2,Fe_N_din4_x2_c2_b,N_din4_x2_c2_b,-616.48,N,din4,Rh,-7.850822,102.9055,210,125,110,66.0,0.665,-3.069932,2.28,1.99,1.137,142,45,7.4589,18.08,1.11,1.41,1.364,1.76,5.4,-4.6611,-4.2897,29.253779,11,11.1,-7.850822,Fe_N_din4_x2_c2_b,-626.094,-3.1261779999999817,#00ff00
Rh_Fe_N_din4_x2_c2_b_v2,-633.473,Rh,Fe,N,din4,N_din4_x2_c2_b,N_din4_x2_c2_b_v2,2,Rh_N_din4_x2_c2_b_v2,din4_x2,Fe_N_din4_x2_c2_b_v2,N_din4_x2_c2_b,-616.48,N,din4,Rh,-7.850822,102.9055,210,125,110,66.0,0.665,-3.069932,2.28,1.99,1.137,142,45,7.4589,18.08,1.11,1.41,1.364,1.76,5.4,-4.6611,-4.2897,29.253779,11,11.1,-7.850822,Fe_N_din4_x2_c2_b_v2,-628.016,2.393822,#00ff00
Rh_Fe_N_din4_x2_c2_e_v2,-637.071,Rh,Fe,N,din4,N_din4_x2_c2_e,N_din4_x2_c2_e_v2,2,Rh_N_din4_x2_c2_e_v2,din4_x2,Fe_N_din4_x2_c2_e_v2,N_din4_x2_c2_e,-616.48,N,din4,Rh,-7.850822,102.9055,210,125,110,66.0,0.665,-3.069932,2.28,1.99,1.137,142,45,7.4589,18.08,1.11,1.41,1.364,1.76,5.4,-4.6611,-4.2897,29.253779,11,11.1,-7.850822,Fe_N_din4_x2_c2_e_v2,-626.111,-3.1091780000000426,#00ff00
Ru_Fe_N_din4_x2_c1_a,-639.121,Ru,Fe,N,din4,N_din4_x2_c1_a,N_din4_x2_c1_a,1,Ru_N_din4_x2_c1_a,din4_x2,Fe_N_din4_x2_c1_a,N_din4_x2_c1_a,-616.776,N,din4,Ru,-9.8124665,101.07,213,125,114,72.0,0.68,-3.193722,2.2,1.97,1.05,146,44,7.3605,16.76,1.145,1.46,1.41,1.83,5.4,-3.9951,-3.6556,13.072705,12,12.1,-9.8124665,Fe_N_din4_x2_c1_a,-626.741,-2.5675334999999677,#ff0000
Ru_Fe_N_din4_x2_c2_b,-638.4,Ru,Fe,N,din4,N_din4_x2_c2_b,N_din4_x2_c2_b,2,Ru_N_din4_x2_c2_b,din4_x2,Fe_N_din4_x2_c2_b,N_din4_x2_c2_b,-616.48,N,din4,Ru,-9.8124665,101.07,213,125,114,72.0,0.68,-3.193722,2.2,1.97,1.05,146,44,7.3605,16.76,1.145,1.46,1.41,1.83,5.4,-3.9951,-3.6556,13.072705,12,12.1,-9.8124665,Fe_N_din4_x2_c2_b,-626.094,-2.4935334999998986,#ff0000
Ru_Fe_N_din4_x2_c2_e_v2,-638.4,Ru,Fe,N,din4,N_din4_x2_c2_e,N_din4_x2_c2_e_v2,2,Ru_N_din4_x2_c2_e_v2,din4_x2,Fe_N_din4_x2_c2_e_v2,N_din4_x2_c2_e,-616.48,N,din4,Ru,-9.8124665,101.07,213,125,114,72.0,0.68,-3.193722,2.2,1.97,1.05,146,44,7.3605,16.76,1.145,1.46,1.41,1.83,5.4,-3.9951,-3.6556,13.072705,12,12.1,-9.8124665,Fe_N_din4_x2_c2_e_v2,-626.111,-2.4765334999999595,#ff0000
Ru_Fe_N_din6_s_c2_12,-616.115,Ru,Fe,N,din6,N_din6_s_c2_12,N_din6_s_c2_12,2,Ru_N_din6_s_c2_12,din6_s,Fe_N_din6_s_c2_12,N_din6_s_c2_12,-598.699,N,din6,Ru,-9.8124665,101.07,213,125,114,72.0,0.68,-3.193722,2.2,1.97,1.05,146,44,7.3605,16.76,1.145,1.46,1.41,1.83,5.4,-3.9951,-3.6556,13.072705,12,12.1,-9.8124665,Fe_N_din6_s_c2_12,-608.705,2.4024665000000596,#ff0000
