System,Metal,Hetatom,Cavity,Base_Cavity,y,Pred_00000,Train_00000,sac_cavity
Cd_C_rol3_c3,Cd,C,rol3_c3,rol3,-1.48594130000005,-2.09358442551441,False,C_rol3_c3
Cd_N_rol2_din2_c2_s3,Cd,N,rol2_din2_c2_s3,rol2_din2,-0.272941299999972,-0.707502300362521,False,N_rol2_din2_c2_s3
Cd_N_rol2_din2_b,Cd,N,rol2_din2_b,rol2_din2,-2.67794130000006,-2.51863677052912,False,N_rol2_din2_b
Cd_N_din3_c2,Cd,N,din3_c2,din3,0.781058700000002,1.04089781898314,False,N_din3_c2
Cd_N_rol2_din2,Cd,N,rol2_din2,rol2_din2,-3.13494130000005,-2.01615143253154,False,N_rol2_din2
Cd_N_rol2_din2_c3_b,Cd,N,rol2_din2_c3_b,rol2_din2,-4.02394129999995,-4.06841917645778,False,N_rol2_din2_c3_b
Cd_N_rol3_c1,Cd,N,rol3_c1,rol3,-1.44194130000007,-0.746314315819922,False,N_rol3_c1
Cd_N_din4_c2_d2,Cd,N,din4_c2_d2,din4,-1.07894130000001,-1.18087455547322,False,N_din4_c2_d2
Cd_C_din3_c3,Cd,C,din3_c3,din3,0.738058699999995,0.503527206360746,False,C_din3_c3
Cd_N_din3,Cd,N,din3,din3,0.281058700000002,1.64597789382455,False,N_din3
Co_N_din4_c2_s2,Co,N,din4_c2_s2,din4,-2.97856050000006,-2.54746858706279,False,N_din4_c2_s2
Co_N_rol1_din2_c1_a,Co,N,rol1_din2_c1_a,rol1_din2,-0.350560500000014,0.142938884871901,False,N_rol1_din2_c1_a
Co_N_din4_c3,Co,N,din4_c3,din4,-2.10756049999996,-2.36656621143774,False,N_din4_c3
Co_N_din4,Co,N,din4,din4,-2.26756049999993,-2.08984848643413,False,N_din4
Co_N_din4_c2_s1,Co,N,din4_c2_s1,din4,-2.13756050000005,-2.39175074469955,False,N_din4_c2_s1
Co_N_rol3_c1,Co,N,rol3_c1,rol3,-2.23856050000005,-1.94563192595104,False,N_rol3_c1
Co_N_rol1_din2_c2_s2,Co,N,rol1_din2_c2_s2,rol1_din2,-0.537560499999912,-0.074352052504401,False,N_rol1_din2_c2_s2
Co_N_din3,Co,N,din3,din3,0.480439500000004,0.593649507488939,False,N_din3
Co_N_din4_c1,Co,N,din4_c1,din4,-2.58856050000007,-2.40039091781898,False,N_din4_c1
Co_N_rol2_din2_c2_s2,Co,N,rol2_din2_c2_s2,rol2_din2,-3.6105605,-3.91276897620011,False,N_rol2_din2_c2_s2
Co_N_rol2_din2_c2_s3,Co,N,rol2_din2_c2_s3,rol2_din2,-1.75756049999994,-1.5768898516069,False,N_rol2_din2_c2_s3
Co_C_din3_c3,Co,C,din3_c3,din3,-2.16656050000004,-1.48441231444552,False,C_din3_c3
Co_N_din3_c1,Co,N,din3_c1,din3,-0.352560499999966,0.163038688090313,False,N_din3_c1
Co_N_din3_c2,Co,N,din3_c2,din3,-0.538560500000002,-0.060679989678898,False,N_din3_c2
Co_N_din4_c2_d2,Co,N,din4_c2_d2,din4,-2.73956050000002,-2.50533440943638,False,N_din4_c2_d2
Co_N_rol1_din2_c2_s1,Co,N,rol1_din2_c2_s1,rol1_din2,-0.543560499999997,-0.080989080512167,False,N_rol1_din2_c2_s1
Co_C_rol2_din2_c4,Co,C,rol2_din2_c4,rol2_din2,-4.26556049999998,-4.69082029875938,False,C_rol2_din2_c4
Co_N_din4_c2_d1,Co,N,din4_c2_d1,din4,-2.73956050000002,-2.53245269802726,False,N_din4_c2_d1
Co_C_rol3_c3,Co,C,rol3_c3,rol3,-4.0195605,-3.36744229119872,False,C_rol3_c3
Co_N_rol2_din2_c3_a,Co,N,rol2_din2_c3_a,rol2_din2,-4.27756050000003,-4.66499073029613,False,N_rol2_din2_c3_a
Co_N_rol3,Co,N,rol3,rol3,-1.85656049999999,-1.63685735748425,False,N_rol3
Co_N_rol2_din2_c2_d1,Co,N,rol2_din2_c2_d1,rol2_din2,-3.26056049999998,-3.78227785830349,False,N_rol2_din2_c2_d1
Co_N_rol3_c2,Co,N,rol3_c2,rol3,-3.20056050000004,-2.62783327784615,False,N_rol3_c2
Co_N_rol2_din2_c3_b,Co,N,rol2_din2_c3_b,rol2_din2,-4.11456050000002,-4.63133135103188,False,N_rol2_din2_c3_b
Co_N_rol2_din2_a,Co,N,rol2_din2_a,rol2_din2,-2.98956050000002,-3.18769632818187,False,N_rol2_din2_a
Co_N_rol2_din2_b,Co,N,rol2_din2_b,rol2_din2,-2.72656049999999,-3.08934051270306,False,N_rol2_din2_b
Co_C_din4_c4,Co,C,din4_c4,din4,-0.387560500000048,-1.02259875629302,False,C_din4_c4
Co_C_rol1_din2_c3,Co,C,rol1_din2_c3,rol1_din2,-2.16756050000002,-1.44180890273871,False,C_rol1_din2_c3
Co_N_rol2_din2,Co,N,rol2_din2,rol2_din2,-2.18856049999998,-2.62417092839611,False,N_rol2_din2
Co_N_rol2_din2_c2_s1,Co,N,rol2_din2_c2_s1,rol2_din2,-3.8895605,-4.03523674590595,False,N_rol2_din2_c2_s1
Cu_N_din4,Cu,N,din4,din4,-1.33141174999992,-1.63446817344801,False,N_din4
Cu_N_rol2_din2_c2_s3,Cu,N,rol2_din2_c2_s3,rol2_din2,-0.281411749999963,-1.43455954195446,False,N_rol2_din2_c2_s3
Cu_N_rol3_c2,Cu,N,rol3_c2,rol3,-2.03341175000003,-2.17577449317834,False,N_rol3_c2
Cu_C_rol1_din2_c3,Cu,C,rol1_din2_c3,rol1_din2,0.326588249999984,0.150652530667803,False,C_rol1_din2_c3
Cu_N_rol2_din2_a,Cu,N,rol2_din2_a,rol2_din2,-2.67441174999999,-3.16811770161737,False,N_rol2_din2_a
Cu_N_rol2_din2_b,Cu,N,rol2_din2_b,rol2_din2,-2.32241175000002,-2.93118102275015,False,N_rol2_din2_b
Cu_N_rol3_c1,Cu,N,rol3_c1,rol3,-1.61841175000007,-1.92980696353126,False,N_rol3_c1
Cu_N_din4_c2_d1,Cu,N,din4_c2_d1,din4,-2.49241174999998,-2.15219559520985,False,N_din4_c2_d1
Cu_C_din4_c4,Cu,C,din4_c4,din4,-1.05441174999999,-0.67034067561553,False,C_din4_c4
Cu_N_rol2_din2,Cu,N,rol2_din2,rol2_din2,-2.24341174999995,-2.55887793371656,False,N_rol2_din2
Cu_N_din4_c2_d2,Cu,N,din4_c2_d2,din4,-2.49241174999998,-2.12415283524948,False,N_din4_c2_d2
Cu_N_din4_c2_s1,Cu,N,din4_c2_s1,din4,-2.07041175000006,-2.04019721574936,False,N_din4_c2_s1
Cu_N_rol2_din2_c2_s1,Cu,N,rol2_din2_c2_s1,rol2_din2,-3.71541175000005,-3.94600969905323,False,N_rol2_din2_c2_s1
Cu_N_rol2_din2_c2_s2,Cu,N,rol2_din2_c2_s2,rol2_din2,-3.25941174999991,-3.84552854708883,False,N_rol2_din2_c2_s2
Cu_C_rol2_din2_c4,Cu,C,rol2_din2_c4,rol2_din2,-4.62741174999997,-4.79150824377099,False,C_rol2_din2_c4
Cu_N_rol2_din2_c2_d1,Cu,N,rol2_din2_c2_d1,rol2_din2,-2.78541174999998,-3.75890054957713,False,N_rol2_din2_c2_d1
Cu_N_din4_c1,Cu,N,din4_c1,din4,-1.93841175,-1.99051649526639,False,N_din4_c1
Cu_C_din3_c3,Cu,C,din3_c3,din3,0.315588250000017,0.177569327672997,False,C_din3_c3
Cu_N_din4_c3,Cu,N,din4_c3,din4,-2.58641174999991,-1.96575223829754,False,N_din4_c3
Cu_N_rol3,Cu,N,rol3,rol3,-1.53341174999992,-1.7931362200672,False,N_rol3
Cu_C_rol3_c3,Cu,C,rol3_c3,rol3,-2.14941175000001,-2.40984941424664,False,C_rol3_c3
Cu_N_din4_c2_s2,Cu,N,din4_c2_s2,din4,-2.90341175000003,-2.18005841235281,False,N_din4_c2_s2
Cu_N_din3_c1,Cu,N,din3_c1,din3,0.541588250000016,0.166603314896853,False,N_din3_c1
